lat,lon,nearest_station_name
41.5,-75.5,Toronto
41.5,-75.0,Toronto
41.5,-74.5,Ottawa
41.5,-74.0,Montreal
41.5,-73.5,Montreal
41.5,-73.0,Montreal
41.5,-72.5,Montreal
41.5,-72.0,Montreal
41.5,-71.5,Montreal
41.5,-71.0,Montreal
41.5,-70.5,Montreal
41.5,-70.0,Montreal
41.5,-69.5,Montreal
41.5,-69.0,Halifax
41.5,-68.5,Halifax
41.5,-68.0,Halifax
41.5,-67.5,Halifax
41.5,-67.0,Halifax
41.5,-66.5,Halifax
41.5,-66.0,Halifax
41.5,-65.5,Halifax
41.5,-65.0,Halifax
41.5,-64.5,Halifax
41.5,-64.0,Halifax
41.5,-63.5,Halifax
41.5,-63.0,Halifax
41.5,-62.5,Halifax
41.5,-62.0,Halifax
41.5,-61.5,Halifax
41.5,-61.0,Halifax
41.5,-60.5,Halifax
41.5,-60.0,Halifax
41.5,-59.5,Halifax
41.5,-59.0,Halifax
41.5,-58.5,Halifax
41.5,-58.0,Halifax
41.5,-57.5,Halifax
41.5,-57.0,Halifax
41.5,-56.5,Halifax
41.5,-56.0,Halifax
41.5,-55.5,St. John's
41.5,-55.0,St. John's
41.5,-54.5,St. John's
41.5,-54.0,St. John's
41.5,-53.5,St. John's
41.5,-53.0,St. John's
41.5,-52.5,St. John's
42.0,-141.0,Victoria
42.0,-140.5,Victoria
42.0,-140.0,Victoria
42.0,-139.5,Victoria
42.0,-139.0,Victoria
42.0,-138.5,Victoria
42.0,-138.0,Victoria
42.0,-137.5,Victoria
42.0,-137.0,Victoria
42.0,-136.5,Victoria
42.0,-136.0,Victoria
42.0,-135.5,Victoria
42.0,-135.0,Victoria
42.0,-134.5,Victoria
42.0,-134.0,Victoria
42.0,-133.5,Victoria
42.0,-133.0,Victoria
42.0,-132.5,Victoria
42.0,-132.0,Victoria
42.0,-131.5,Victoria
42.0,-131.0,Victoria
42.0,-130.5,Victoria
42.0,-130.0,Victoria
42.0,-129.5,Victoria
42.0,-129.0,Victoria
42.0,-128.5,Victoria
42.0,-128.0,Victoria
42.0,-127.5,Victoria
42.0,-127.0,Victoria
42.0,-126.5,Victoria
42.0,-126.0,Victoria
42.0,-125.5,Victoria
42.0,-125.0,Victoria
42.0,-124.5,Victoria
42.0,-124.0,Victoria
42.0,-123.5,Victoria
42.0,-123.0,Victoria
42.0,-122.5,Victoria
42.0,-122.0,Victoria
42.0,-121.5,Victoria
42.0,-121.0,Victoria
42.0,-120.5,Victoria
42.0,-120.0,Victoria
42.0,-119.5,Victoria
42.0,-119.0,Victoria
42.0,-118.5,Victoria
42.0,-118.0,Victoria
42.0,-117.5,Victoria
42.0,-117.0,Victoria
42.0,-116.5,Victoria
42.0,-116.0,Kelowna
42.0,-115.5,Kelowna
42.0,-115.0,Kelowna
42.0,-114.5,Kelowna
42.0,-114.0,Kelowna
42.0,-113.5,Kelowna
42.0,-113.0,Calgary
42.0,-112.5,Calgary
42.0,-112.0,Calgary
42.0,-111.5,Calgary
42.0,-111.0,Calgary
42.0,-110.5,Calgary
42.0,-110.0,Regina
42.0,-109.5,Regina
42.0,-109.0,Regina
42.0,-108.5,Regina
42.0,-108.0,Regina
42.0,-107.5,Regina
42.0,-107.0,Regina
42.0,-106.5,Regina
42.0,-106.0,Regina
42.0,-105.5,Regina
42.0,-105.0,Regina
42.0,-104.5,Regina
42.0,-104.0,Regina
42.0,-103.5,Regina
42.0,-103.0,Regina
42.0,-102.5,Regina
42.0,-102.0,Winnipeg
42.0,-101.5,Winnipeg
42.0,-101.0,Winnipeg
42.0,-100.5,Winnipeg
42.0,-100.0,Winnipeg
42.0,-99.5,Winnipeg
42.0,-99.0,Winnipeg
42.0,-98.5,Winnipeg
42.0,-98.0,Winnipeg
42.0,-97.5,Winnipeg
42.0,-97.0,Winnipeg
42.0,-96.5,Winnipeg
42.0,-96.0,Winnipeg
42.0,-95.5,Thunder Bay
42.0,-95.0,Thunder Bay
42.0,-94.5,Thunder Bay
42.0,-94.0,Thunder Bay
42.0,-93.5,Thunder Bay
42.0,-93.0,Thunder Bay
42.0,-92.5,Thunder Bay
42.0,-92.0,Thunder Bay
42.0,-91.5,Thunder Bay
42.0,-91.0,Thunder Bay
42.0,-90.5,Thunder Bay
42.0,-90.0,Thunder Bay
42.0,-89.5,Thunder Bay
42.0,-89.0,Thunder Bay
42.0,-88.5,Thunder Bay
42.0,-88.0,Thunder Bay
42.0,-87.5,Toronto
42.0,-87.0,Toronto
42.0,-86.5,Toronto
42.0,-86.0,Toronto
42.0,-85.5,Toronto
42.0,-85.0,Toronto
42.0,-84.5,Toronto
42.0,-84.0,Toronto
42.0,-83.5,Toronto
42.0,-83.0,Toronto
42.0,-82.5,Toronto
42.0,-82.0,Toronto
42.0,-81.5,Toronto
42.0,-81.0,Toronto
42.0,-80.5,Toronto
42.0,-80.0,Toronto
42.0,-79.5,Toronto
42.0,-79.0,Toronto
42.0,-78.5,Toronto
42.0,-78.0,Toronto
42.0,-77.5,Toronto
42.0,-77.0,Toronto
42.0,-76.5,Toronto
42.0,-76.0,Toronto
42.0,-75.5,Toronto
42.0,-75.0,Ottawa
42.0,-74.5,Ottawa
42.0,-74.0,Montreal
42.0,-73.5,Montreal
42.0,-73.0,Montreal
42.0,-72.5,Montreal
42.0,-72.0,Montreal
42.0,-71.5,Montreal
42.0,-71.0,Montreal
42.0,-70.5,Montreal
42.0,-70.0,Montreal
42.0,-69.5,Montreal
42.0,-69.0,Halifax
42.0,-68.5,Halifax
42.0,-68.0,Halifax
42.0,-67.5,Halifax
42.0,-67.0,Halifax
42.0,-66.5,Halifax
42.0,-66.0,Halifax
42.0,-65.5,Halifax
42.0,-65.0,Halifax
42.0,-64.5,Halifax
42.0,-64.0,Halifax
42.0,-63.5,Halifax
42.0,-63.0,Halifax
42.0,-62.5,Halifax
42.0,-62.0,Halifax
42.0,-61.5,Halifax
42.0,-61.0,Halifax
42.0,-60.5,Halifax
42.0,-60.0,Halifax
42.0,-59.5,Halifax
42.0,-59.0,Halifax
