cell_id,lat,lon
48.0000_-72.5000,48.0,-72.5
48.0000_-73.0000,48.0,-73.0
48.0000_-73.5000,48.0,-73.5
48.0000_-74.0000,48.0,-74.0
48.0000_-74.5000,48.0,-74.5
48.0000_-75.0000,48.0,-75.0
48.0000_-75.5000,48.0,-75.5
48.0000_-76.0000,48.0,-76.0
48.0000_-76.5000,48.0,-76.5
48.0000_-77.0000,48.0,-77.0
48.0000_-77.5000,48.0,-77.5
48.0000_-78.0000,48.0,-78.0
48.0000_-78.5000,48.0,-78.5
48.0000_-79.0000,48.0,-79.0
48.0000_-79.5000,48.0,-79.5
48.0000_-80.0000,48.0,-80.0
48.0000_-80.5000,48.0,-80.5
48.0000_-81.0000,48.0,-81.0
48.0000_-81.5000,48.0,-81.5
48.0000_-82.0000,48.0,-82.0
48.0000_-82.5000,48.0,-82.5
48.0000_-83.0000,48.0,-83.0
48.0000_-83.5000,48.0,-83.5
48.0000_-84.0000,48.0,-84.0
48.0000_-84.5000,48.0,-84.5
48.0000_-85.0000,48.0,-85.0
48.0000_-85.5000,48.0,-85.5
48.0000_-86.0000,48.0,-86.0
48.0000_-86.5000,48.0,-86.5
48.0000_-87.0000,48.0,-87.0
48.0000_-87.5000,48.0,-87.5
48.0000_-89.5000,48.0,-89.5
48.0000_-90.0000,48.0,-90.0
48.0000_-90.5000,48.0,-90.5
48.0000_-91.5000,48.0,-91.5
48.5000_-123.5000,48.5,-123.5
48.5000_-124.0000,48.5,-124.0
48.5000_-124.5000,48.5,-124.5
48.5000_-53.0000,48.5,-53.0
48.5000_-53.5000,48.5,-53.5
48.5000_-54.0000,48.5,-54.0
48.5000_-54.5000,48.5,-54.5
48.5000_-55.0000,48.5,-55.0
48.5000_-55.5000,48.5,-55.5
48.5000_-56.0000,48.5,-56.0
48.5000_-56.5000,48.5,-56.5
48.5000_-57.0000,48.5,-57.0
48.5000_-57.5000,48.5,-57.5
48.5000_-58.0000,48.5,-58.0
48.5000_-58.5000,48.5,-58.5
48.5000_-59.0000,48.5,-59.0
48.5000_-64.5000,48.5,-64.5
48.5000_-65.0000,48.5,-65.0
48.5000_-65.5000,48.5,-65.5
48.5000_-66.0000,48.5,-66.0
48.5000_-66.5000,48.5,-66.5
48.5000_-67.0000,48.5,-67.0
48.5000_-67.5000,48.5,-67.5
48.5000_-68.0000,48.5,-68.0
48.5000_-68.5000,48.5,-68.5
48.5000_-69.5000,48.5,-69.5
48.5000_-70.0000,48.5,-70.0
48.5000_-70.5000,48.5,-70.5
48.5000_-71.0000,48.5,-71.0
48.5000_-71.5000,48.5,-71.5
48.5000_-72.0000,48.5,-72.0
48.5000_-72.5000,48.5,-72.5
48.5000_-73.0000,48.5,-73.0
48.5000_-73.5000,48.5,-73.5
48.5000_-74.0000,48.5,-74.0
48.5000_-74.5000,48.5,-74.5
48.5000_-75.0000,48.5,-75.0
48.5000_-75.5000,48.5,-75.5
48.5000_-76.0000,48.5,-76.0
48.5000_-76.5000,48.5,-76.5
48.5000_-77.0000,48.5,-77.0
48.5000_-77.5000,48.5,-77.5
48.5000_-78.0000,48.5,-78.0
48.5000_-78.5000,48.5,-78.5
48.5000_-79.0000,48.5,-79.0
48.5000_-79.5000,48.5,-79.5
48.5000_-80.0000,48.5,-80.0
48.5000_-80.5000,48.5,-80.5
48.5000_-81.0000,48.5,-81.0
48.5000_-81.5000,48.5,-81.5
48.5000_-82.0000,48.5,-82.0
48.5000_-82.5000,48.5,-82.5
48.5000_-83.0000,48.5,-83.0
48.5000_-83.5000,48.5,-83.5
48.5000_-84.0000,48.5,-84.0
48.5000_-84.5000,48.5,-84.5
48.5000_-85.0000,48.5,-85.0
48.5000_-85.5000,48.5,-85.5
48.5000_-86.0000,48.5,-86.0
48.5000_-86.5000,48.5,-86.5
48.5000_-87.0000,48.5,-87.0
48.5000_-87.5000,48.5,-87.5
48.5000_-88.0000,48.5,-88.0
48.5000_-88.5000,48.5,-88.5
48.5000_-89.0000,48.5,-89.0
48.5000_-89.5000,48.5,-89.5
48.5000_-90.0000,48.5,-90.0
48.5000_-90.5000,48.5,-90.5
48.5000_-91.0000,48.5,-91.0
48.5000_-91.5000,48.5,-91.5
48.5000_-92.0000,48.5,-92.0
48.5000_-92.5000,48.5,-92.5
48.5000_-93.5000,48.5,-93.5
49.0000_-100.0000,49.0,-100.0
49.0000_-100.5000,49.0,-100.5
49.0000_-101.0000,49.0,-101.0
49.0000_-101.5000,49.0,-101.5
49.0000_-102.0000,49.0,-102.0
49.0000_-102.5000,49.0,-102.5
49.0000_-103.0000,49.0,-103.0
49.0000_-103.5000,49.0,-103.5
49.0000_-104.0000,49.0,-104.0
49.0000_-104.5000,49.0,-104.5
49.0000_-105.0000,49.0,-105.0
49.0000_-105.5000,49.0,-105.5
49.0000_-106.0000,49.0,-106.0
49.0000_-106.5000,49.0,-106.5
49.0000_-107.0000,49.0,-107.0
49.0000_-107.5000,49.0,-107.5
49.0000_-108.0000,49.0,-108.0
49.0000_-108.5000,49.0,-108.5
49.0000_-109.0000,49.0,-109.0
49.0000_-109.5000,49.0,-109.5
49.0000_-110.0000,49.0,-110.0
49.0000_-110.5000,49.0,-110.5
49.0000_-111.0000,49.0,-111.0
49.0000_-111.5000,49.0,-111.5
49.0000_-112.0000,49.0,-112.0
49.0000_-112.5000,49.0,-112.5
49.0000_-113.0000,49.0,-113.0
49.0000_-113.5000,49.0,-113.5
49.0000_-114.0000,49.0,-114.0
49.0000_-114.5000,49.0,-114.5
49.0000_-115.0000,49.0,-115.0
49.0000_-115.5000,49.0,-115.5
49.0000_-116.0000,49.0,-116.0
49.0000_-116.5000,49.0,-116.5
49.0000_-117.0000,49.0,-117.0
49.0000_-117.5000,49.0,-117.5
49.0000_-118.0000,49.0,-118.0
49.0000_-118.5000,49.0,-118.5
49.0000_-119.0000,49.0,-119.0
49.0000_-119.5000,49.0,-119.5
49.0000_-120.0000,49.0,-120.0
49.0000_-120.5000,49.0,-120.5
49.0000_-121.0000,49.0,-121.0
49.0000_-121.5000,49.0,-121.5
49.0000_-122.0000,49.0,-122.0
49.0000_-122.5000,49.0,-122.5
49.0000_-123.0000,49.0,-123.0
49.0000_-123.5000,49.0,-123.5
49.0000_-124.0000,49.0,-124.0
49.0000_-124.5000,49.0,-124.5
49.0000_-125.0000,49.0,-125.0
49.0000_-125.5000,49.0,-125.5
49.0000_-53.5000,49.0,-53.5
49.0000_-54.0000,49.0,-54.0
49.0000_-54.5000,49.0,-54.5
49.0000_-55.0000,49.0,-55.0
49.0000_-55.5000,49.0,-55.5
49.0000_-56.0000,49.0,-56.0
