lat,lon,date,temperature,humidity,wind_speed,pressure,precip_24h_mm
46.0,-82.5,2026-09-21 22:48:23,11.15100000000001,66.16774139404298,20.941260721564294,1007.07,0.0
46.0,-82.0,2026-09-21 22:48:23,11.801000000000045,61.29274139404297,19.213260721564296,1006.91,0.0
46.0,-81.5,2026-09-21 22:48:23,12.511000000000024,52.76774139404297,15.505260721564294,998.96,0.0
46.0,-81.0,2026-09-21 22:48:23,12.663000000000011,52.86774139404297,14.119260721564293,1003.8,0.0
46.0,-80.5,2026-09-21 22:48:23,12.507000000000005,53.49274139404297,14.353260721564293,1003.82,0.0
46.0,-80.0,2026-09-21 22:48:23,12.545000000000016,48.51774139404297,12.949260721564293,998.88,0.0
46.0,-79.5,2026-09-21 22:48:23,11.648000000000025,51.51774139404297,10.915260721564294,986.24,0.0
46.0,-79.0,2026-09-21 22:48:23,10.513000000000034,58.54274139404297,18.097260721564293,981.49,0.0
46.0,-78.5,2026-09-21 22:48:23,11.739000000000033,47.99274139404297,12.949260721564293,984.12,0.061
46.0,-78.0,2026-09-21 22:48:23,11.744000000000028,50.592741394042974,8.449260721564293,989.62,0.0915
46.0,-77.5,2026-09-21 22:48:23,12.720000000000027,49.06774139404297,7.261260721564294,1002.85,0.038
46.0,-77.0,2026-09-21 22:48:23,12.55600000000004,46.64274139404297,8.989260721564293,989.93,0.0305
46.0,-76.5,2026-09-21 22:48:23,12.368000000000052,48.86774139404297,8.773260721564293,991.48,0.0535
46.0,-76.0,2026-09-21 22:48:23,13.647000000000048,44.24274139404297,9.997260721564293,1005.01,0.0
46.0,-75.5,2026-09-21 22:48:23,13.427000000000021,43.44274139404297,8.431260721564295,992.87,0.0
46.0,-75.0,2026-09-21 22:48:23,12.612000000000023,49.61774139404297,8.305260721564293,988.18,0.0
46.0,-74.5,2026-09-21 22:48:23,13.38900000000001,49.19274139404297,6.901260721564293,984.95,0.0
46.0,-74.0,2026-09-21 22:48:23,13.272000000000048,47.092741394042974,6.559260721564293,982.2,0.0
46.0,-73.5,2026-09-21 22:48:23,15.82000000000005,38.56774139404297,7.621260721564294,1017.88,0.0
46.0,-73.0,2026-09-21 22:48:23,14.999000000000024,46.41774139404297,13.525260721564294,1022.3,0.0
46.0,-72.5,2026-09-21 22:48:23,14.809000000000026,48.69274139404297,10.195260721564294,1015.77,0.0765
46.0,-72.0,2026-09-21 22:48:23,14.203000000000031,53.61774139404297,10.105260721564294,1007.74,0.618
46.0,-71.5,2026-09-21 22:48:23,13.386000000000024,57.91774139404297,9.565260721564293,985.8,1.854
46.0,-71.0,2026-09-21 22:48:23,13.206000000000017,60.36774139404297,7.639260721564293,980.12,0.0305
46.0,-70.5,2026-09-21 22:48:23,13.446000000000026,62.69274139404297,9.169260721564292,983.13,0.061
46.0,-67.5,2026-09-21 22:48:23,14.709000000000003,66.50332489013672,11.256360827565194,1004.71,0.023
46.0,-67.0,2026-09-21 22:48:23,16.239000000000033,63.15332489013672,9.852360827565194,1004.08,0.0155
46.0,-66.5,2026-09-21 22:48:23,17.031000000000006,60.753324890136724,6.1083608275651935,1003.8,0.0
46.0,-66.0,2026-09-21 22:48:23,14.319000000000017,72.47832489013672,2.9043608275651933,1018.69,0.0
46.0,-65.5,2026-09-21 22:48:23,16.759000000000015,61.77832489013672,4.362360827565193,1009.24,0.0
46.0,-65.0,2026-09-21 22:48:23,17.121000000000038,61.02832489013672,4.614360827565194,1013.83,0.0075
46.0,-64.5,2026-09-21 22:48:23,16.801000000000045,63.42832489013672,2.8503608275651935,1011.44,0.20600000000000002
46.0,-64.0,2026-09-21 22:48:23,14.41700000000003,80.22832489013672,2.1663608275651933,1016.69,3.319
46.0,-63.0,2026-09-21 22:48:23,13.930000000000007,76.32832489013673,3.0843608275651935,1018.77,1.2815
46.0,-62.5,2026-09-21 22:48:23,14.274000000000001,75.20332489013673,8.070360827565194,1018.18,1.358
46.0,-61.5,2026-09-21 22:48:23,14.281000000000006,73.17832489013672,11.904360827565194,1011.6,0.0
46.0,-61.0,2026-09-21 22:48:23,13.719000000000051,75.50332489013672,18.258360827565195,1007.27,0.2135
46.0,-60.5,2026-09-21 22:48:23,15.05600000000004,67.17832489013672,10.716360827565193,1007.91,0.046
46.0,-60.0,2026-09-21 22:48:23,14.27800000000002,71.55332489013672,11.418360827565195,1016.61,0.0685
46.5,-84.5,2026-09-21 22:48:23,13.152000000000044,46.01774139404297,7.639260721564293,1004.27,0.0
46.5,-84.0,2026-09-21 22:48:23,13.67900000000003,40.342741394042974,7.027260721564294,1000.23,0.0
46.5,-83.5,2026-09-21 22:48:23,12.684000000000026,43.11774139404297,8.593260721564294,989.23,0.0
46.5,-83.0,2026-09-21 22:48:23,12.236000000000047,45.79274139404297,6.973260721564293,981.85,0.0
46.5,-82.5,2026-09-21 22:48:23,12.394000000000005,44.76774139404297,8.647260721564292,982.66,0.0
46.5,-82.0,2026-09-21 22:48:23,12.094000000000051,51.26774139404297,8.017260721564293,987.52,0.0
46.5,-81.5,2026-09-21 22:48:23,11.632000000000005,55.29274139404297,9.259260721564294,989.84,0.0
46.5,-81.0,2026-09-21 22:48:23,11.830000000000041,55.31774139404297,13.129260721564293,994.55,0.0
46.5,-80.5,2026-09-21 22:48:23,12.268000000000029,53.24274139404297,9.889260721564293,999.13,0.0
46.5,-80.0,2026-09-21 22:48:23,12.036000000000001,54.14274139404297,9.331260721564295,997.51,0.0
