lat,lon,in_canada,historical_fire,hist_fire_any_prior,hist_fire_count_prior_20y_log1p,years_since_last_fire
41.5,-92.5,False,0,0,0.0,0.0
41.5,-92.0,False,0,0,0.0,0.0
41.5,-91.5,False,0,0,0.0,0.0
41.5,-91.0,False,0,0,0.0,0.0
41.5,-90.5,False,0,0,0.0,0.0
41.5,-90.0,False,0,0,0.0,0.0
41.5,-89.5,False,0,0,0.0,0.0
41.5,-89.0,False,0,0,0.0,0.0
41.5,-88.5,False,0,0,0.0,0.0
41.5,-88.0,False,0,0,0.0,0.0
41.5,-87.5,False,0,0,0.0,0.0
41.5,-87.0,False,0,0,0.0,0.0
41.5,-86.5,False,0,0,0.0,0.0
41.5,-86.0,False,0,0,0.0,0.0
41.5,-85.5,False,0,0,0.0,0.0
41.5,-85.0,False,0,0,0.0,0.0
41.5,-84.5,False,0,0,0.0,0.0
41.5,-84.0,False,0,0,0.0,0.0
41.5,-83.5,False,0,0,0.0,0.0
41.5,-83.0,False,0,0,0.0,0.0
41.5,-82.5,False,0,0,0.0,0.0
41.5,-82.0,False,0,0,0.0,0.0
41.5,-81.5,False,0,0,0.0,0.0
41.5,-81.0,False,0,0,0.0,0.0
41.5,-80.5,False,0,0,0.0,0.0
41.5,-80.0,False,0,0,0.0,0.0
41.5,-79.5,False,0,0,0.0,0.0
41.5,-79.0,False,0,0,0.0,0.0
41.5,-78.5,False,0,0,0.0,0.0
41.5,-78.0,False,0,0,0.0,0.0
41.5,-77.5,False,0,0,0.0,0.0
41.5,-77.0,False,0,0,0.0,0.0
41.5,-76.5,False,0,0,0.0,0.0
41.5,-76.0,False,0,0,0.0,0.0
41.5,-75.5,False,0,0,0.0,0.0
41.5,-75.0,False,0,0,0.0,0.0
41.5,-74.5,False,0,0,0.0,0.0
41.5,-74.0,False,0,0,0.0,0.0
41.5,-73.5,False,0,0,0.0,0.0
41.5,-73.0,False,0,0,0.0,0.0
41.5,-72.5,False,0,0,0.0,0.0
41.5,-72.0,False,0,0,0.0,0.0
41.5,-71.5,False,0,0,0.0,0.0
41.5,-71.0,False,0,0,0.0,0.0
41.5,-70.5,False,0,0,0.0,0.0
41.5,-70.0,False,0,0,0.0,0.0
41.5,-69.5,False,0,0,0.0,0.0
41.5,-69.0,False,0,0,0.0,0.0
41.5,-68.5,False,0,0,0.0,0.0
41.5,-68.0,False,0,0,0.0,0.0
41.5,-67.5,False,0,0,0.0,0.0
41.5,-67.0,False,0,0,0.0,0.0
41.5,-66.5,False,0,0,0.0,0.0
41.5,-66.0,False,0,0,0.0,0.0
41.5,-65.5,False,0,0,0.0,0.0
41.5,-65.0,False,0,0,0.0,0.0
41.5,-64.5,False,0,0,0.0,0.0
41.5,-64.0,False,0,0,0.0,0.0
41.5,-63.5,False,0,0,0.0,0.0
41.5,-63.0,False,0,0,0.0,0.0
41.5,-62.5,False,0,0,0.0,0.0
41.5,-62.0,False,0,0,0.0,0.0
41.5,-61.5,False,0,0,0.0,0.0
41.5,-61.0,False,0,0,0.0,0.0
41.5,-60.5,False,0,0,0.0,0.0
41.5,-60.0,False,0,0,0.0,0.0
41.5,-59.5,False,0,0,0.0,0.0
41.5,-59.0,False,0,0,0.0,0.0
41.5,-58.5,False,0,0,0.0,0.0
41.5,-58.0,False,0,0,0.0,0.0
41.5,-57.5,False,0,0,0.0,0.0
41.5,-57.0,False,0,0,0.0,0.0
41.5,-56.5,False,0,0,0.0,0.0
41.5,-56.0,False,0,0,0.0,0.0
41.5,-55.5,False,0,0,0.0,0.0
41.5,-55.0,False,0,0,0.0,0.0
41.5,-54.5,False,0,0,0.0,0.0
41.5,-54.0,False,0,0,0.0,0.0
41.5,-53.5,False,0,0,0.0,0.0
41.5,-53.0,False,0,0,0.0,0.0
41.5,-52.5,False,0,0,0.0,0.0
42.0,-141.0,False,0,0,0.0,0.0
42.0,-140.5,False,0,0,0.0,0.0
42.0,-140.0,False,0,0,0.0,0.0
42.0,-139.5,False,0,0,0.0,0.0
42.0,-139.0,False,0,0,0.0,0.0
42.0,-138.5,False,0,0,0.0,0.0
42.0,-138.0,False,0,0,0.0,0.0
42.0,-137.5,False,0,0,0.0,0.0
42.0,-137.0,False,0,0,0.0,0.0
42.0,-136.5,False,0,0,0.0,0.0
42.0,-136.0,False,0,0,0.0,0.0
42.0,-135.5,False,0,0,0.0,0.0
42.0,-135.0,False,0,0,0.0,0.0
42.0,-134.5,False,0,0,0.0,0.0
42.0,-134.0,False,0,0,0.0,0.0
42.0,-133.5,False,0,0,0.0,0.0
42.0,-133.0,False,0,0,0.0,0.0
42.0,-132.5,False,0,0,0.0,0.0
42.0,-132.0,False,0,0,0.0,0.0
42.0,-131.5,False,0,0,0.0,0.0
42.0,-131.0,False,0,0,0.0,0.0
42.0,-130.5,False,0,0,0.0,0.0
42.0,-130.0,False,0,0,0.0,0.0
42.0,-129.5,False,0,0,0.0,0.0
42.0,-129.0,False,0,0,0.0,0.0
42.0,-128.5,False,0,0,0.0,0.0
42.0,-128.0,False,0,0,0.0,0.0
42.0,-127.5,False,0,0,0.0,0.0
42.0,-127.0,False,0,0,0.0,0.0
42.0,-126.5,False,0,0,0.0,0.0
42.0,-126.0,False,0,0,0.0,0.0
42.0,-125.5,False,0,0,0.0,0.0
42.0,-125.0,False,0,0,0.0,0.0
42.0,-124.5,False,0,0,0.0,0.0
42.0,-124.0,False,0,0,0.0,0.0
42.0,-123.5,False,0,0,0.0,0.0
42.0,-123.0,False,0,0,0.0,0.0
42.0,-122.5,False,0,0,0.0,0.0
42.0,-122.0,False,0,0,0.0,0.0
42.0,-121.5,False,0,0,0.0,0.0
42.0,-121.0,False,0,0,0.0,0.0
42.0,-120.5,False,0,0,0.0,0.0
42.0,-120.0,False,0,0,0.0,0.0
42.0,-119.5,False,0,0,0.0,0.0
42.0,-119.0,False,0,0,0.0,0.0
42.0,-118.5,False,0,0,0.0,0.0
42.0,-118.0,False,0,0,0.0,0.0
42.0,-117.5,False,0,0,0.0,0.0
42.0,-117.0,False,0,0,0.0,0.0
42.0,-116.5,False,0,0,0.0,0.0
42.0,-116.0,False,0,0,0.0,0.0
42.0,-115.5,False,0,0,0.0,0.0
42.0,-115.0,False,0,0,0.0,0.0
42.0,-114.5,False,0,0,0.0,0.0
42.0,-114.0,False,0,0,0.0,0.0
42.0,-113.5,False,0,0,0.0,0.0
42.0,-113.0,False,0,0,0.0,0.0
42.0,-112.5,False,0,0,0.0,0.0
42.0,-112.0,False,0,0,0.0,0.0
42.0,-111.5,False,0,0,0.0,0.0
42.0,-111.0,False,0,0,0.0,0.0
42.0,-110.5,False,0,0,0.0,0.0
42.0,-110.0,False,0,0,0.0,0.0
42.0,-109.5,False,0,0,0.0,0.0
42.0,-109.0,False,0,0,0.0,0.0
42.0,-108.5,False,0,0,0.0,0.0
42.0,-108.0,False,0,0,0.0,0.0
42.0,-107.5,False,0,0,0.0,0.0
42.0,-107.0,False,0,0,0.0,0.0
42.0,-106.5,False,0,0,0.0,0.0
42.0,-106.0,False,0,0,0.0,0.0
42.0,-105.5,False,0,0,0.0,0.0
42.0,-105.0,False,0,0,0.0,0.0
42.0,-104.5,False,0,0,0.0,0.0
42.0,-104.0,False,0,0,0.0,0.0
42.0,-103.5,False,0,0,0.0,0.0
